,title,manyogana,kundoku,kana
190,[題詞]（同石田王卒之時山前王哀傷作歌一首）或本反歌二首_3256,隠口乃  泊瀬越女我  手二纒在  玉者乱而  有不言八方,こもりくの泊瀬娘子が手に巻ける玉は乱れてありと言はずやも,",こもりくの,はつせをとめが,てにまける,たまはみだれて,ありといはずやも"
191,[題詞]（（同石田王卒之時山前王哀傷作歌一首）或本反歌二首）_3273,河風  寒長谷乎  歎乍  公之阿流久尓  似人母逢耶,川風の寒き泊瀬を嘆きつつ君が歩くに似る人も逢へや,",かはかぜの,さむきはつせを,なげきつつ,きみがあるくに,にるひともあへや"
192,[題詞]柿本朝臣人麻呂見香具山屍悲慟作歌一首_3290,草枕  羈宿尓  誰嬬可  國忘有  家待<真>國,草枕旅の宿りに誰が嬬か国忘れたる家待たまくに,",くさまくら,たびのやどりに,たがつまか,くにわすれたる,いへまたまくに"
193,[題詞]田口廣麻呂死之時刑部垂麻呂作歌一首_3307,百不足  八十隅坂尓  手向為者  過去人尓  盖相牟鴨,百足らず八十隈坂に手向けせば過ぎにし人にけだし逢はむかも,",ももたらず,やそくまさかに,たむけせば,すぎにしひとに,けだしあはむかも"
194,[題詞]土形娘子火葬泊瀬山時柿本朝臣人麻呂作歌一首_3324,隠口能  泊瀬山之  山際尓  伊佐夜歴雲者  妹鴨有牟,こもりくの初瀬の山の山の際にいさよふ雲は妹にかもあらむ,",こもりくの,はつせのやまの,やまのまに,いさよふくもは,いもにかもあらむ"
195,[題詞]溺死出雲娘子火葬吉野時柿本朝臣人麻呂作歌二首_3341,山際従  出雲兒等者  霧有哉  吉野山  嶺霏<ｄ>,山の際ゆ出雲の子らは霧なれや吉野の山の嶺にたなびく,",やまのまゆ,いづものこらは,きりなれや,よしののやまの,みねにたなびく"
196,[題詞]（溺死出雲娘子火葬吉野時柿本朝臣人麻呂作歌二首）_3358,八雲刺  出雲子等  黒髪者  吉野川  奥名豆颯,八雲さす出雲の子らが黒髪は吉野の川の沖になづさふ,",やくもさす,いづものこらが,くろかみは,よしののかはの,おきになづさふ"
197,[題詞]過勝鹿真間娘子墓時山部宿祢赤人作歌一首[并短歌]  [東俗語云可豆思賀能麻末能弖胡]_3375,古昔  有家武人之  倭<文>幡乃  帶解替而  廬屋立  妻問為家武  勝壮鹿乃  真間之手兒名之  奥槨乎  此間登波聞杼  真木葉哉  茂有良武  松之根也  遠久寸  言耳毛  名耳母吾者  不<可>忘,いにしへに  ありけむ人の  倭文幡の  帯解き交へて  伏屋立て  妻問ひしけむ  勝鹿の  真間の手児名が  奥つ城を  こことは聞けど  真木の葉や  茂くあるらむ  松が根や  遠く久しき  言のみも  名のみも我れは  忘らゆましじ,",いにしへに,ありけむひとの,しつはたの,おびときかへて,ふせやたて,つまどひしけむ,かつしかの,ままのてごなが,おくつきを,こことはきけど,まきのはや,しげくあるらむ,まつがねや,とほくひさしき,ことのみも,なのみもわれは,わすらゆましじ"
198,[題詞]（過勝鹿真間娘子墓時山部宿祢赤人作歌一首[并短歌]  [東俗語云可豆思賀能麻末能弖胡]）反歌_3392,吾毛見都  人尓毛将告  勝壮鹿之  間<々>能手兒名之  奥津城處,我れも見つ人にも告げむ勝鹿の真間の手児名が奥つ城ところ,",われもみつ,ひとにもつげむ,かつしかの,ままのてごなが,おくつきところ"
199,[題詞]（（過勝鹿真間娘子墓時山部宿祢赤人作歌一首[并短歌]  [東俗語云可豆思賀能麻末能弖胡]）反歌）_3409,勝壮鹿乃  真々乃入江尓  打靡  玉藻苅兼  手兒名志所念,葛飾の真間の入江にうち靡く玉藻刈りけむ手児名し思ほゆ,",かつしかの,ままのいりえに,うちなびく,たまもかりけむ,てごなしおもほゆ"
200,[題詞]和銅四年辛亥河邊宮人見姫嶋松原美人屍哀慟作歌四首_3426,加<座>ｅ夜能  美保乃浦廻之  白管仕  見十方不怜  無人念者  [或云  見者悲霜  無人思丹],風早の美穂の浦廻の白つつじ見れども寂しなき人思へば  [或云  見れば悲しもなき人思ふに],",かざはやの,みほのうらみの,しらつつじ,みれどもさぶし,なきひとおもへば,[みればかなしも,なきひとおもふに]"
201,[題詞]（和銅四年辛亥河邊宮人見姫嶋松原美人屍哀慟作歌四首）_3443,見津見津四  久米能若子我  伊觸家武  礒之草根乃  干巻惜裳,みつみつし久米の若子がい触れけむ礒の草根の枯れまく惜しも,",みつみつし,くめのわくごが,いふれけむ,いそのくさねの,かれまくをしも"
202,[題詞]（和銅四年辛亥河邊宮人見姫嶋松原美人屍哀慟作歌四首）_3460,人言之  繁比日  玉有者  手尓巻持而  不戀有益雄,人言の繁きこのころ玉ならば手に巻き持ちて恋ひずあらましを,",ひとごとの,しげきこのころ,たまならば,てにまきもちて,こひずあらましを"
203,[題詞]（和銅四年辛亥河邊宮人見姫嶋松原美人屍哀慟作歌四首）_3477,妹毛吾毛  清之河乃  河岸之  妹我可悔  心者不持,妹も我れも清みの川の川岸の妹が悔ゆべき心は持たじ,",いももあれも,きよみのかはの,かはきしの,いもがくゆべき,こころはもたじ"
204,[題詞]神龜五年戊辰<大>宰帥大伴卿思戀故人歌三首_3494,愛  人之纒而師  敷細之  吾手枕乎  纒人将有哉,愛しき人のまきてし敷栲の我が手枕をまく人あらめや,",うつくしき,ひとのまきてし,しきたへの,わがたまくらを,まくひとあらめや"
205,[題詞]（神龜五年戊辰大宰帥<大>伴卿思戀故人歌三首）_3511,應還  時者成来  京師尓而  誰手本乎可  吾将枕,帰るべく時はなりけり都にて誰が手本をか我が枕かむ,",かへるべく,ときはなりけり,みやこにて,たがたもとをか,わがまくらかむ"
206,[題詞]（神龜五年戊辰大宰帥<大>伴卿思戀故人歌三首）_3528,在<京>  荒有家尓  一宿者  益旅而  可辛苦,都なる荒れたる家にひとり寝ば旅にまさりて苦しかるべし,",みやこなる,あれたるいへに,ひとりねば,たびにまさりて,くるしかるべし"
207,[題詞]神龜六年己巳左大臣長屋王賜死之後倉橋部女王作歌一首_3545,大皇之  命恐  大荒城乃  時尓波不有跡  雲隠座,大君の命畏み大殯の時にはあらねど雲隠ります,",おほきみの,みことかしこみ,おほあらきの,ときにはあらねど,くもがくります"
208,[題詞]悲傷膳部王歌一首_3562,世間者  空物跡  将有登曽  此照月者  満闕為家流,世間は空しきものとあらむとぞこの照る月は満ち欠けしける,",よのなかは,むなしきものと,あらむとぞ,このてるつきは,みちかけしける"
209,[題詞]天平元年己巳攝津國班田史生丈部龍麻呂自經死之時判官大伴宿祢三中作歌一首[并短歌]_3579,天雲之  向伏國  武士登  所云人者  皇祖  神之御門尓  外重尓  立候  内重尓  仕奉  玉葛  弥遠長  祖名文  継徃物与  母父尓  妻尓子等尓  語而  立西日従  帶乳根乃  母命者  齊忌戸乎  前坐置而  一手者  木綿取持  一手者  和細布奉  <平>  間幸座与  天地乃  神祇乞祷  何在  歳月日香  茵花  香君之  牛留鳥  名津匝来与  立居而  待監人者  王之  命恐  押光  難波國尓  荒玉之  年經左右二  白栲  衣不干  朝夕  在鶴公者  何方尓  念座可  欝蝉乃  惜此世乎  露霜  置而徃監  時尓不在之天,天雲の  向伏す国の  ますらをと  言はれし人は  天皇の  神の御門に  外の重に  立ち侍ひ  内の重に  仕へ奉りて  玉葛  いや遠長く  祖の名も  継ぎ行くものと  母父に  妻に子どもに  語らひて  立ちにし日より  たらちねの  母の命は  斎瓮を  前に据ゑ置きて  片手には  木綿取り持ち  片手には  和栲奉り  平けく  ま幸くいませと  天地の  神を祈ひ祷み  いかにあらむ  年月日にか  つつじ花  にほへる君が  にほ鳥の  なづさひ来むと  立ちて居て  待ちけむ人は  大君の  命畏み  おしてる  難波の国に  あらたまの  年経るまでに  白栲の  衣も干さず  朝夕に  ありつる君は  いかさまに  思ひませか  うつせみの  惜しきこの世を  露霜の  置きて去にけむ  時にあらずして,",あまくもの,むかぶすくにの,ますらをと,いはれしひとは,すめろきの,かみのみかどに,とのへに,たちさもらひ,うちのへに,つかへまつりて,たまかづら,いやとほながく,おやのなも,つぎゆくものと,おもちちに,つまにこどもに,かたらひて,たちにしひより,たらちねの,ははのみことは,いはひへを,まへにすゑおきて,かたてには,ゆふとりもち,かたてには,にきたへまつり,たひらけく,まさきくいませと,あめつちの,かみをこひのみ,いかにあらむ,としつきひにか,つつじはな,にほへるきみが,にほとりの,なづさひこむと,たちてゐて,まちけむひとは,おほきみの,みことかしこみ,おしてる,なにはのくにに,あらたまの,としふるまでに,しろたへの,ころももほさず,あさよひに,ありつるきみは,いかさまに,おもひいませか,うつせみの,をしきこのよを,つゆしもの,おきていにけむ,ときにあらずして"
210,[題詞]（天平元年己巳攝津國班田史生丈部龍麻呂自經死之時判官大伴宿祢三中作歌一首[并短歌]）反歌_3596,昨日社  公者在然  不思尓  濱松之<於>  雲棚引,昨日こそ君はありしか思はぬに浜松の上に雲にたなびく,",きのふこそ,きみはありしか,おもはぬに,はままつのうへに,くもにたなびく"
211,[題詞]（（天平元年己巳攝津國班田史生丈部龍麻呂自經死之時判官大伴宿祢三中作歌一首[并短歌]）反歌）_3613,何時然跡  待牟妹尓  玉梓乃  事太尓不告  徃公鴨,いつしかと待つらむ妹に玉梓の言だに告げず去にし君かも,",いつしかと,まつらむいもに,たまづさの,ことだにつげず,いにしきみかも"
212,[題詞]天平二年庚午冬十二月大宰帥<大>伴卿向京上道之時作歌五首_3630,吾妹子之  見師鞆浦之  天木香樹者  常世有跡  見之人曽奈吉,我妹子が見し鞆の浦のむろの木は常世にあれど見し人ぞなき,",わぎもこが,みしとものうらの,むろのきは,とこよにあれど,みしひとぞなき"
213,[題詞]（天平二年庚午冬十二月大宰帥<大>伴卿向京上道之時作歌五首）_3647,鞆浦之  礒之室木  将見毎  相見之妹者  将所忘八方,鞆の浦の礒のむろの木見むごとに相見し妹は忘らえめやも,",とものうらの,いそのむろのき,みむごとに,あひみしいもは,わすらえめやも"
214,[題詞]（天平二年庚午冬十二月大宰帥<大>伴卿向京上道之時作歌五首）_3664,礒上丹  根蔓室木  見之人乎  何在登問者  語将告可,礒の上に根延ふむろの木見し人をいづらと問はば語り告げむか,",いそのうへに,ねばふむろのき,みしひとを,いづらととはば,かたりつげむか"
215,[題詞]（天平二年庚午冬十二月大宰帥<大>伴卿向京上道之時作歌五首）_3681,与妹来之  敏馬能埼乎  還左尓  獨<之>見者  涕具末之毛,妹と来し敏馬の崎を帰るさにひとりし見れば涙ぐましも,",いもとこし,みぬめのさきを,かへるさに,ひとりしみれば,なみたぐましも"
216,[題詞]（天平二年庚午冬十二月大宰帥<大>伴卿向京上道之時作歌五首）_3698,去左尓波  二吾見之  此埼乎  獨過者  情悲<喪>  [一云  見毛左可受伎濃],行くさにはふたり我が見しこの崎をひとり過ぐれば心悲しも  [一云  見も放かず来ぬ],",ゆくさには,ふたりわがみし,このさきを,ひとりすぐれば,こころかなしも,[みもさかずきぬ]"
217,[題詞]還入故郷家即作歌三首_3715,人毛奈吉  空家者  草枕  旅尓益而  辛苦有家里,人もなき空しき家は草枕旅にまさりて苦しかりけり,",ひともなき,むなしきいへは,くさまくら,たびにまさりて,くるしかりけり"
218,[題詞]（還入故郷家即作歌三首）_3732,与妹為而  二作之  吾山齊者  木高繁  成家留鴨,妹としてふたり作りし我が山斎は木高く茂くなりにけるかも,",いもとして,ふたりつくりし,わがしまは,こだかくしげく,なりにけるかも"
219,[題詞]（還入故郷家即作歌三首）_3749,吾妹子之  殖之梅樹  毎見  情咽都追  涕之流,我妹子が植ゑし梅の木見るごとに心咽せつつ涙し流る,",わぎもこが,うゑしうめのき,みるごとに,こころむせつつ,なみたしながる"
220,[題詞]天平三年辛未秋七月大納言大伴卿薨之時歌六首_3766,愛八師  榮之君乃  伊座勢<婆>  昨日毛今日毛  吾乎召<麻>之乎,はしきやし栄えし君のいましせば昨日も今日も我を召さましを,",はしきやし,さかえしきみの,いましせば,きのふもけふも,わをめさましを"
221,[題詞]（天平三年辛未秋七月大納言大伴卿薨之時歌六首）_3783,如是耳  有家類物乎  芽子花  咲而有哉跡  問之君波母,かくのみにありけるものを萩の花咲きてありやと問ひし君はも,",かくのみに,ありけるものを,はぎのはな,さきてありやと,とひしきみはも"
222,[題詞]（天平三年辛未秋七月大納言大伴卿薨之時歌六首）_3800,君尓戀  痛毛為便奈美  蘆鶴之  哭耳所泣  朝夕四天,君に恋ひいたもすべなみ葦鶴の哭のみし泣かゆ朝夕にして,",きみにこひ,いたもすべなみ,あしたづの,ねのみしなかゆ,あさよひにして"
223,[題詞]（天平三年辛未秋七月大納言大伴卿薨之時歌六首）_3817,遠長  将仕物常  念有之  君師不座者  心神毛奈思,遠長く仕へむものと思へりし君しまさねば心どもなし,",とほながく,つかへむものと,おもへりし,きみしまさねば,こころどもなし"
224,[題詞]（天平三年辛未秋七月大納言大伴卿薨之時歌六首）_3834,若子乃  匍匐多毛登保里  朝夕  哭耳曽吾泣  君無二四天,みどり子の匍ひたもとほり朝夕に哭のみぞ我が泣く君なしにして,",みどりこの,はひたもとほり,あさよひに,ねのみぞわがなく,きみなしにして"
225,[題詞]（天平三年辛未秋七月大納言大伴卿薨之時歌六首）_3851,見礼杼不飽  伊座之君我  黄葉乃  移伊去者  悲喪有香,見れど飽かずいましし君が黄葉のうつりい行けば悲しくもあるか,",みれどあかず,いまししきみが,もみちばの,うつりいゆけば,かなしくもあるか"
226,[題詞]七年乙亥大伴坂上郎女悲嘆尼理願死去作歌一首[并短歌]_3868,栲角乃  新羅國従  人事乎  吉跡所聞而  問放流  親族兄弟  無國尓  渡来座而  大皇之  敷座國尓  内日指  京思美弥尓  里家者  左波尓雖在  何方尓  念鷄目鴨  都礼毛奈吉  佐保乃山邊<尓>  哭兒成  慕来座而  布細乃  宅乎毛造  荒玉乃  年緒長久  住乍  座之物乎  生者  死云事尓  不免  物尓之有者  憑有之  人乃盡  草<枕>  客有間尓  佐保河乎  朝河渡  春日野乎  背向尓見乍  足氷木乃  山邊乎指而  晩闇跡  隠益去礼  将言為便  将為須敝不知尓  徘徊  直獨而  白細之  衣袖不干  嘆乍  吾泣涙  有間山  雲居軽引  雨尓零寸八,栲づのの  新羅の国ゆ  人言を  よしと聞かして  問ひ放くる  親族兄弟  なき国に  渡り来まして  大君の  敷きます国に  うち日さす  都しみみに  里家は  さはにあれども  いかさまに  思ひけめかも  つれもなき  佐保の山辺に  泣く子なす  慕ひ来まして  敷栲の  家をも作り  あらたまの  年の緒長く  住まひつつ  いまししものを  生ける者  死ぬといふことに  免れぬ  ものにしあれば  頼めりし  人のことごと  草枕  旅なる間に  佐保川を  朝川渡り  春日野を  そがひに見つつ  あしひきの  山辺をさして  夕闇と  隠りましぬれ  言はむすべ  為むすべ知らに  たもとほり  ただひとりして  白栲の  衣袖干さず  嘆きつつ  我が泣く涙  有間山  雲居たなびき  雨に降りきや,",たくづのの,しらきのくにゆ,ひとごとを,よしときかして,とひさくる,うがらはらから,なきくにに,わたりきまして,おほきみの,しきますくにに,うちひさす,みやこしみみに,さといへは,さはにあれども,いかさまに,おもひけめかも,つれもなき,さほのやまへに,なくこなす,したひきまして,しきたへの,いへをもつくり,あらたまの,としのをながく,すまひつつ,いまししものを,いけるもの,しぬといふことに,まぬかれぬ,ものにしあれば,たのめりし,ひとのことごと,くさまくら,たびなるほとに,さほがはを,あさかはわたり,かすがのを,そがひにみつつ,あしひきの,やまへをさして,ゆふやみと,かくりましぬれ,いはむすべ,せむすべしらに,たもとほり,ただひとりして,しろたへの,ころもでほさず,なげきつつ,わがなくなみた,ありまやま,くもゐたなびき,あめにふりきや"
227,[題詞]（七年乙亥大伴坂上郎女悲嘆尼理願死去作歌一首[并短歌]）反歌_3885,留不得  壽尓之在者  敷細乃  家従者出而  雲隠去寸,留めえぬ命にしあれば敷栲の家ゆは出でて雲隠りにき,",とどめえぬ,いのちにしあれば,しきたへの,いへゆはいでて,くもがくりにき"
228,[題詞]十一年己卯夏六月大伴宿祢家持悲傷亡妾作歌一首_3902,従今者  秋風寒  将吹焉  如何獨  長夜乎将宿,今よりは秋風寒く吹きなむをいかにかひとり長き夜を寝む,",いまよりは,あきかぜさむく,ふきなむを,いかにかひとり,ながきよをねむ"
229,[題詞]（十一年己卯夏六月大伴宿祢家持悲傷亡妾作歌一首）弟大伴宿祢書持即和歌一首_3919,長夜乎  獨哉将宿跡  君之云者  過去人之  所念久尓,長き夜をひとりや寝むと君が言へば過ぎにし人の思ほゆらくに,",ながきよを,ひとりやねむと,きみがいへば,すぎにしひとの,おもほゆらくに"
230,[題詞]又家持見砌上瞿麦花作歌一首_3936,秋去者  見乍思跡  妹之殖之  屋前乃石竹  開家流香聞,秋さらば見つつ偲へと妹が植ゑしやどのなでしこ咲きにけるかも,",あきさらば,みつつしのへと,いもがうゑし,やどのなでしこ,さきにけるかも"
231,[題詞]移朔而後悲嘆秋風家持作歌一首_3953,虚蝉之  代者無常跡  知物乎  秋風寒  思努妣都流可聞,うつせみの世は常なしと知るものを秋風寒み偲ひつるかも,",うつせみの,よはつねなしと,しるものを,あきかぜさむみ,しのひつるかも"
232,[題詞]又家持作歌一首[并短歌]_3970,吾屋前尓  花曽咲有  其乎見杼  情毛不行  愛八師  妹之有世婆  水鴨成  二人雙居  手折而毛  令見麻思物乎  打蝉乃  借有身在者  <露>霜乃  消去之如久  足日木乃  山道乎指而  入日成  隠去可婆  曽許念尓  胸己所痛  言毛不得  名付毛不知  跡無  世間尓有者  将為須辨毛奈思,我がやどに  花ぞ咲きたる  そを見れど  心もゆかず  はしきやし  妹がありせば  水鴨なす  ふたり並び居  手折りても  見せましものを  うつせみの  借れる身なれば  露霜の  消ぬるがごとく  あしひきの  山道をさして  入日なす  隠りにしかば  そこ思ふに  胸こそ痛き  言ひもえず  名づけも知らず  跡もなき  世間にあれば  為むすべもなし,",わがやどに,はなぞさきたる,そをみれど,こころもゆかず,はしきやし,いもがありせば,みかもなす,ふたりならびゐ,たをりても,みせましものを,うつせみの,かれるみなれば,つゆしもの,けぬるがごとく,あしひきの,やまぢをさして,いりひなす,かくりにしかば,そこもふに,むねこそいたき,いひもえず,なづけもしらず,あともなき,よのなかにあれば,せむすべもなし"
233,[題詞]（又家持作歌一首[并短歌]）反歌_3987,時者霜  何時毛将有乎  情哀  伊去吾妹可  <若>子乎置而,時はしもいつもあらむを心痛くい行く我妹かみどり子を置きて,",ときはしも,いつもあらむを,こころいたく,いゆくわぎもか,みどりこをおきて"
234,[題詞]（（又家持作歌一首[并短歌]）反歌）_4004,出行  道知末世波  豫  妹乎将留  塞毛置末思乎,出でて行く道知らませばあらかじめ妹を留めむ関も置かましを,",いでてゆく,みちしらませば,あらかじめ,いもをとどめむ,せきもおかましを"
235,[題詞]（（又家持作歌一首[并短歌]）反歌）_4021,妹之見師  屋前尓花咲  時者經去  吾泣涙  未干尓,妹が見しやどに花咲き時は経ぬ我が泣く涙いまだ干なくに,",いもがみし,やどにはなさき,ときはへぬ,わがなくなみた,いまだひなくに"
236,[題詞]悲緒未息更作歌五首_4038,如是耳  有家留物乎  妹毛吾毛  如千歳  憑有来,かくのみにありけるものを妹も我れも千年のごとく頼みたりけり,",かくのみに,ありけるものを,いももあれも,ちとせのごとく,たのみたりけり"
237,[題詞]（悲緒未息更作歌五首）_4055,離家  伊麻須吾妹乎  停不得  山隠都礼  情神毛奈思,家離りいます我妹を留めかね山隠しつれ心どもなし,",いへざかり,いますわぎもを,とどめかね,やまかくしつれ,こころどもなし"
238,[題詞]（悲緒未息更作歌五首）_4072,世間之  常如此耳跡  可都<知跡>  痛情者  不忍都毛,世間し常かくのみとかつ知れど痛き心は忍びかねつも,",よのなかし,つねかくのみと,かつしれど,いたきこころは,しのびかねつも"
239,[題詞]（悲緒未息更作歌五首）_4089,佐保山尓  多奈引霞  毎見  妹乎思出  不泣日者無,佐保山にたなびく霞見るごとに妹を思ひ出泣かぬ日はなし,",さほやまに,たなびくかすみ,みるごとに,いもをおもひで,なかぬひはなし"
240,[題詞]（悲緒未息更作歌五首）_4106,昔許曽  外尓毛見之加  吾妹子之  奥槨常念者  波之吉佐寳山,昔こそ外にも見しか我妹子が奥つ城と思へばはしき佐保山,",むかしこそ,よそにもみしか,わぎもこが,おくつきとおもへば,はしきさほやま"
241,[題詞]十六年甲申春二月安積皇子薨之時内舎人大伴宿祢家持作歌六首_4123,<挂>巻母  綾尓恐之  言巻毛  齊忌志伎可物  吾王  御子乃命  萬代尓  食賜麻思  大日本  久邇乃京者  打靡  春去奴礼婆  山邊尓波  花咲乎為里  河湍尓波  年魚小狭走  弥日異  榮時尓  逆言之  狂言登加聞  白細尓  舎人装束而  和豆香山  御輿立之而  久堅乃  天所知奴礼  展轉  Ｏ打雖泣  将為須便毛奈思,かけまくも  あやに畏し  言はまくも  ゆゆしきかも  我が大君  皇子の命  万代に  見したまはまし  大日本  久迩の都は  うち靡く  春さりぬれば  山辺には  花咲きををり  川瀬には  鮎子さ走り  いや日異に  栄ゆる時に  およづれの  たはこととかも  白栲に  舎人よそひて  和束山  御輿立たして  ひさかたの  天知らしぬれ  臥いまろび  ひづち泣けども  為むすべもなし,",かけまくも,あやにかしこし,いはまくも,ゆゆしきかも,わがおほきみ,みこのみこと,よろづよに,めしたまはまし,おほやまと,くにのみやこは,うちなびく,はるさりぬれば,やまへには,はなさきををり,かはせには,あゆこさばしり,いやひけに,さかゆるときに,およづれの,たはこととかも,しろたへに,とねりよそひて,わづかやま,みこしたたして,ひさかたの,あめしらしぬれ,こいまろび,ひづちなけども,せむすべもなし"
242,[題詞]（十六年甲申春二月安積皇子薨之時内舎人大伴宿祢家持作歌六首）反歌_4140,吾王  天所知牟登  不思者  於保尓曽見谿流  和豆香蘇麻山,我が大君天知らさむと思はねばおほにぞ見ける和束杣山,",わがおほきみ,あめしらさむと,おもはねば,おほにぞみける,わづかそまやま"
243,[題詞]（（十六年甲申春二月安積皇子薨之時内舎人大伴宿祢家持作歌六首）反歌）_4157,足桧木乃  山左倍光  咲花乃  散去如寸  吾王香聞,あしひきの山さへ光り咲く花の散りぬるごとき我が大君かも,",あしひきの,やまさへひかり,さくはなの,ちりぬるごとき,わがおほきみかも"
244,[題詞]（十六年甲申春二月安積皇子薨之時内舎人大伴宿祢家持作歌六首）_4174,<挂>巻毛  文尓恐之  吾王  皇子之命  物乃負能  八十伴男乎  召集聚  率比賜比  朝猟尓  鹿猪踐<起>  暮猟尓  鶉雉履立  大御馬之  口抑駐  御心乎  見為明米之  活道山  木立之繁尓  咲花毛  移尓家里  世間者  如此耳奈良之  大夫之  心振起  劔刀  腰尓取佩  梓弓  靭取負而  天地与  弥遠長尓  万代尓  如此毛欲得跡  憑有之  皇子乃御門乃  五月蝿成  驟驂舎人者  白栲尓  <服>取著而  常有之  咲比振麻比  弥日異  更經<見>者 悲<呂>可聞,かけまくも  あやに畏し  我が大君  皇子の命の  もののふの  八十伴の男を  召し集へ  率ひたまひ  朝狩に  鹿猪踏み起し  夕狩に  鶉雉踏み立て  大御馬の  口抑へとめ  御心を  見し明らめし  活道山  木立の茂に  咲く花も  うつろひにけり  世間は  かくのみならし  ますらをの  心振り起し  剣太刀  腰に取り佩き  梓弓  靫取り負ひて  天地と  いや遠長に  万代に  かくしもがもと  頼めりし  皇子の御門の  五月蝿なす  騒く舎人は  白栲に  衣取り着て  常なりし  笑ひ振舞ひ  いや日異に  変らふ見れば  悲しきろかも,",かけまくも,あやにかしこし,わがおほきみ,みこのみことの,もののふの,やそとものをを,めしつどへ,あどもひたまひ,あさがりに,ししふみおこし,ゆふがりに,とりふみたて,おほみまの,くちおさへとめ,みこころを,めしあきらめし,いくぢやま,こだちのしげに,さくはなも,うつろひにけり,よのなかは,かくのみならし,ますらをの,こころふりおこし,つるぎたち,こしにとりはき,あづさゆみ,ゆきとりおひて,あめつちと,いやとほながに,よろづよに,かくしもがもと,たのめりし,みこのみかどの,さばへなす,さわくとねりは,しろたへに,ころもとりきて,つねなりし,ゑまひふるまひ,いやひけに,かはらふみれば,かなしきろかも"
245,[題詞]（十六年甲申春二月安積皇子薨之時内舎人大伴宿祢家持作歌六首）反歌_4191,波之吉可聞  皇子之命乃  安里我欲比  見之活道乃  路波荒尓鷄里,はしきかも皇子の命のあり通ひ見しし活道の道は荒れにけり,",はしきかも,みこのみことの,ありがよひ,めししいくぢの,みちはあれにけり"
246,[題詞]（（十六年甲申春二月安積皇子薨之時内舎人大伴宿祢家持作歌六首）反歌）_4208,大伴之  名負靭帶而  萬代尓  憑之心  何所可将寄,大伴の名に負ふ靫帯びて万代に頼みし心いづくか寄せむ,",おほともの,なにおふゆきおびて,よろづよに,たのみしこころ,いづくかよせむ"
247,[題詞]悲傷死妻高橋朝臣作歌一首[并短歌]_4225,白細之  袖指可倍弖  靡寐  吾黒髪乃  真白髪尓  成極  新世尓  共将有跡  玉緒乃  不絶射妹跡  結而石  事者不果  思有之  心者不遂  白妙之  手本矣別  丹杵火尓之  家従裳出而  緑兒乃  哭乎毛置而  朝霧  髣髴為乍  山代乃  相樂山乃  山際  徃過奴礼婆  将云為便  将為便不知  吾妹子跡  左宿之妻屋尓  朝庭  出立偲  夕尓波  入居嘆<會>  腋<挾>  兒乃泣<毎>  雄自毛能  負見抱見  朝鳥之  啼耳哭管  雖戀  効矣無跡  辞不問  物尓波在跡  吾妹子之  入尓之山乎  因鹿跡叙念,白栲の  袖さし交へて  靡き寝し  我が黒髪の  ま白髪に  なりなむ極み  新世に  ともにあらむと  玉の緒の  絶えじい妹と  結びてし  ことは果たさず  思へりし  心は遂げず  白栲の  手本を別れ  にきびにし  家ゆも出でて  みどり子の  泣くをも置きて  朝霧の  おほになりつつ  山背の  相楽山の  山の際に  行き過ぎぬれば  言はむすべ  為むすべ知らに  我妹子と  さ寝し妻屋に  朝には  出で立ち偲ひ  夕には  入り居嘆かひ  脇ばさむ  子の泣くごとに  男じもの  負ひみ抱きみ  朝鳥の  哭のみ泣きつつ  恋ふれども  験をなみと  言とはぬ  ものにはあれど  我妹子が  入りにし山を  よすかとぞ思ふ,",しろたへの,そでさしかへて,なびきねし,わがくろかみの,ましらかに,なりなむきはみ,あらたよに,ともにあらむと,たまのをの,たえじいいもと,むすびてし,ことははたさず,おもへりし,こころはとげず,しろたへの,たもとをわかれ,にきびにし,いへゆもいでて,みどりこの,なくをもおきて,あさぎりの,おほになりつつ,やましろの,さがらかやまの,やまのまに,ゆきすぎぬれば,いはむすべ,せむすべしらに,わぎもこと,さねしつまやに,あしたには,いでたちしのひ,ゆふへには,いりゐなげかひ,わきばさむ,このなくごとに,をとこじもの,おひみむだきみ,あさとりの,ねのみなきつつ,こふれども,しるしをなみと,こととはぬ,ものにはあれど,わぎもこが,いりにしやまを,よすかとぞおもふ"
248,[題詞]（悲傷死妻高橋朝臣作歌一首[并短歌]）反歌_4242,打背見乃  世之事尓在者  外尓見之  山矣耶今者  因香跡思波牟,うつせみの世のことにあれば外に見し山をや今はよすかと思はむ,",うつせみの,よのことにあれば,よそにみし,やまをやいまは,よすかとおもはむ"
249,[題詞]（（悲傷死妻高橋朝臣作歌一首[并短歌]）反歌）_4259,朝鳥之  啼耳鳴六  吾妹子尓  今亦更  逢因矣無,朝鳥の哭のみし泣かむ我妹子に今またさらに逢ふよしをなみ,",あさとりの,ねのみしなかゆ,わぎもこに,いままたさらに,あふよしをなみ"
0,[題詞]難波天皇妹奉上在山跡皇兄御歌一首_12,一日社  人母待<吉>  長氣乎  如此<耳>待者  有不得勝,一日こそ人も待ちよき長き日をかくのみ待たば有りかつましじ,",ひとひこそ,ひともまちよき,ながきけを,かくのみまたば,ありかつましじ"
